STATION,NAME,DATE,AWND,PGTM,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,TSUN,WDF2,WDF5,WSF2,WSF5,WT01,WT02,WT03,WT04,WT05,WT06,WT08,WT09
USW00094728,"NY CITY CENTRAL PARK, NY US",3/4/16,8.72,,0.11,0.4,0,,39,30,,30,20,16.1,23.9,1,,,,,,1,
USW00094728,"NY CITY CENTRAL PARK, NY US",3/5/16,4.25,,0,0,0,,41,28,,360,360,13,18.1,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",3/6/16,3.36,,0,0,0,,44,32,,50,50,13,15,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",3/7/16,7.83,,0,0,0,,60,36,,230,240,17,30,,,,,,,1,
USW00094728,"NY CITY CENTRAL PARK, NY US",3/8/16,3.36,,0,0,0,,67,47,,170,170,14.1,19,,,,,,,1,
USW00094728,"NY CITY CENTRAL PARK, NY US",3/9/16,2.24,,0,0,0,,77,44,,240,210,10.1,21.9,,,,,,,1,
USW00094728,"NY CITY CENTRAL PARK, NY US",3/10/16,4.92,,0,0,0,,79,63,,250,,12.1,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",3/11/16,6.04,,0.06,0,0,,68,48,,40,10,17,25.9,1,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",3/12/16,5.14,,0,0,0,,59,40,,250,250,15,23,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",3/13/16,3.58,,0,0,0,,62,50,,30,30,12.1,18.1,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",3/14/16,14.09,,0.29,0,0,,51,40,,70,60,28,40,1,,,,,,1,
USW00094728,"NY CITY CENTRAL PARK, NY US",3/15/16,5.37,,0,0,0,,57,44,,70,70,23,36.9,1,,,,,,1,
USW00094728,"NY CITY CENTRAL PARK, NY US",3/16/16,3.58,,0.02,0,0,,65,48,,190,170,13,18.1,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",3/17/16,4.92,,0,0,0,,63,45,,300,300,19.9,32,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",3/18/16,8.72,,0,0,0,,57,42,,290,270,21.9,40,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",3/19/16,5.14,,0,0,0,,46,36,,40,40,15,23.9,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",3/20/16,9.62,,0.07,0,0,,43,32,,60,80,18.1,23.9,1,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",3/21/16,8.05,,0.06,0.5,0,,50,32,,280,290,19.9,33.1,1,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",3/22/16,6.93,,0,0,0,,56,35,,260,240,15,23,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",3/23/16,6.04,,0,0,0,,71,48,,250,260,15,25.9,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",3/24/16,9.17,,0,0,0,,55,44,,60,70,19.9,25.9,1,,,,,,1,
USW00094728,"NY CITY CENTRAL PARK, NY US",3/25/16,3.8,,0.04,0,0,,72,44,,290,360,14.1,21.9,1,,,,,,1,
USW00094728,"NY CITY CENTRAL PARK, NY US",3/26/16,6.49,,0,0,0,,55,38,,60,190,14.1,21,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",3/27/16,5.59,,0,0,0,,55,43,,170,180,13,19.9,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",3/28/16,10.07,,0.38,0,0,,62,42,,290,270,25.1,45,1,,,,,,1,
USW00094728,"NY CITY CENTRAL PARK, NY US",3/29/16,11.63,,0,0,0,,53,40,,290,280,25.9,42.9,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",3/30/16,5.37,,0,0,0,,56,37,,190,160,16.1,23.9,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",3/31/16,6.71,,0,0,0,,73,49,,240,250,16.1,28,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",4/1/16,6.71,,0.02,0,0,,79,61,,260,250,12.1,30,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",4/2/16,4.92,,0.16,0,0,,61,49,,190,190,8.9,19.9,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",4/3/16,12.75,,0.09,0,0,,50,34,,280,280,25.1,45,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",4/4/16,7.16,,0.47,0,0,,45,29,,50,30,16.1,25.1,1,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",4/5/16,8.28,,0,0,0,,43,26,,20,20,21.9,31.1,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",4/6/16,6.04,,0,0,0,,48,30,,180,180,17,36,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",4/7/16,6.93,,0.09,0,0,,58,48,,250,260,19.9,34,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",4/8/16,7.16,,0.01,0,0,,50,40,,280,300,13,29.1,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",4/9/16,6.49,,0.11,0,0,,43,36,,310,320,14.1,25.1,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",4/10/16,4.92,,0,0,0,,50,31,,260,320,13,23.9,,,,,,,,
